count=498
[197] distance=0.0613214 idx0=82 idx1=82
[198] distance=0.0619967 idx0=322 idx1=322
[199] distance=0.0625309 idx0=316 idx1=771
[200] distance=0.0625646 idx0=272 idx1=277
[201] distance=0.0634675 idx0=436 idx1=455
[202] distance=0.0636327 idx0=94 idx1=94
[203] distance=0.0638278 idx0=162 idx1=171
[204] distance=0.064375 idx0=20 idx1=21
[205] distance=0.0647101 idx0=346 idx1=352
[206] distance=0.0654032 idx0=301 idx1=328
[207] distance=0.0656446 idx0=112 idx1=112
[208] distance=0.0659539 idx0=27 idx1=28
[209] distance=0.0674721 idx0=124 idx1=127
[210] distance=0.0675965 idx0=294 idx1=318
[211] distance=0.0679394 idx0=224 idx1=253
[212] distance=0.0685614 idx0=273 idx1=263
[213] distance=0.0690577 idx0=77 idx1=77
[214] distance=0.0698184 idx0=326 idx1=345
[215] distance=0.0699845 idx0=315 idx1=338
[216] distance=0.0703461 idx0=257 idx1=274
[217] distance=0.0715461 idx0=238 idx1=256
[218] distance=0.0719982 idx0=310 idx1=324
[219] distance=0.0720024 idx0=168 idx1=167
[220] distance=0.072545 idx0=92 idx1=92
[221] distance=0.072756 idx0=33 idx1=33
[222] distance=0.072827 idx0=375 idx1=386
[223] distance=0.0728432 idx0=341 idx1=339
[224] distance=0.0739104 idx0=149 idx1=153
[225] distance=0.0739683 idx0=178 idx1=179
[226] distance=0.0751588 idx0=585 idx1=569
[227] distance=0.0756002 idx0=221 idx1=722
[228] distance=0.0780397 idx0=453 idx1=448
[229] distance=0.0780626 idx0=805 idx1=180
[230] distance=0.0781187 idx0=266 idx1=306
[231] distance=0.0801113 idx0=359 idx1=346
[232] distance=0.0809358 idx0=261 idx1=268
[233] distance=0.0813371 idx0=305 idx1=331
[234] distance=0.0827389 idx0=89 idx1=89
[235] distance=0.0835012 idx0=216 idx1=226
[236] distance=0.0839337 idx0=390 idx1=413
[237] distance=0.083973 idx0=76 idx1=75
[238] distance=0.0842217 idx0=235 idx1=239
[239] distance=0.0847036 idx0=378 idx1=404
[240] distance=0.0850382 idx0=11 idx1=10
[241] distance=0.0852348 idx0=891 idx1=235
[242] distance=0.08569 idx0=146 idx1=145
[243] distance=0.0863351 idx0=361 idx1=390
[244] distance=0.0865294 idx0=258 idx1=738
[245] distance=0.0865561 idx0=343 idx1=371
[246] distance=0.0914729 idx0=61 idx1=61
[247] distance=0.0919972 idx0=246 idx1=250
[248] distance=0.0924206 idx0=582 idx1=566
[249] distance=0.092435 idx0=250 idx1=271
[250] distance=0.0928143 idx0=332 idx1=334
[251] distance=0.094429 idx0=475 idx1=476
[252] distance=0.0949012 idx0=98 idx1=96
[253] distance=0.0961709 idx0=264 idx1=265
[254] distance=0.0966092 idx0=383 idx1=422
[255] distance=0.0967855 idx0=352 idx1=367
[256] distance=0.0980527 idx0=228 idx1=228
[257] distance=0.0981041 idx0=348 idx1=350
[258] distance=0.0998923 idx0=381 idx1=406
[259] distance=0.103789 idx0=437 idx1=440
[260] distance=0.104889 idx0=387 idx1=407
[261] distance=0.105104 idx0=143 idx1=148
[262] distance=0.10529 idx0=281 idx1=276
[263] distance=0.105821 idx0=356 idx1=363
[264] distance=0.105891 idx0=542 idx1=539
[265] distance=0.106738 idx0=159 idx1=162
[266] distance=0.107051 idx0=49 idx1=746
[267] distance=0.108195 idx0=785 idx1=202
[268] distance=0.108322 idx0=425 idx1=456
[269] distance=0.109214 idx0=507 idx1=503
[270] distance=0.109694 idx0=174 idx1=181
[271] distance=0.109761 idx0=540 idx1=496
[272] distance=0.111938 idx0=568 idx1=578
[273] distance=0.11547 idx0=288 idx1=302
[274] distance=0.117607 idx0=100 idx1=102
[275] distance=0.118153 idx0=369 idx1=388
[276] distance=0.121084 idx0=240 idx1=770
[277] distance=0.121463 idx0=443 idx1=451
[278] distance=0.121996 idx0=306 idx1=330
[279] distance=0.122215 idx0=93 idx1=93
[280] distance=0.12406 idx0=9 idx1=9
[281] distance=0.125459 idx0=129 idx1=131
